vin_1_10,state,city,county,ev_type,make,model,Sum of model_year
1FMCU0E19P,WA,Bremerton,Kitsap,Plug-in Hybrid Electric Vehicle (PHEV),FORD,ESCAPE,2023
1FMCU0EZXN,WA,Moxee,Yakima,Plug-in Hybrid Electric Vehicle (PHEV),FORD,ESCAPE,2022
1FMCU0LZ9N,WA,Bothell,Snohomish,Plug-in Hybrid Electric Vehicle (PHEV),FORD,ESCAPE,2022
1FT6W1EV5N,WA,Kirkland,King,Battery Electric Vehicle (BEV),FORD,F-150,2022
1FTBW1YK1N,WA,Seattle,King,Battery Electric Vehicle (BEV),FORD,TRANSIT,2022
1FTBW9CK2P,WA,Kent,King,Battery Electric Vehicle (BEV),FORD,TRANSIT,2023
1FTVW1EV6P,WA,Bremerton,Kitsap,Battery Electric Vehicle (BEV),FORD,F-150,2023
1FTZR1078W,WA,Sequim,Clallam,Battery Electric Vehicle (BEV),FORD,RANGER,1998
1G1FW6S00H,WA,Seabeck,Kitsap,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2017
1G1FW6S00J,WA,Battle Ground,Clark,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2018
1G1FW6S00P,WA,Port Orchard,Kitsap,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2023
1G1FW6S01H,WA,Port Orchard,Kitsap,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2017
1G1FW6S02J,WA,Kelso,Cowlitz,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2018
1G1FW6S02N,WA,Olympia,Thurston,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2022
1G1FW6S03H,WA,Olympia,Thurston,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2017
1G1FW6S03J,WA,Seattle,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2018
1G1FW6S05L,WA,Seattle,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2020
1G1FW6S09P,WA,Seattle,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2023
1G1FW6S0XP,WA,Seattle,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2023
1G1FX6S00N,WA,Seattle,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2022
1G1FX6S01J,WA,Rainier,Thurston,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2018
1G1FX6S02H,WA,Issaquah,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2017
1G1FX6S03H,WA,Seattle,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2017
1G1FX6S04H,WA,Shoreline,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2017
1G1FX6S06H,WA,Seattle,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2017
1G1FX6S06P,WA,Vancouver,Clark,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2023
1G1FX6S07P,WA,Bothell,Snohomish,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2023
1G1FX6S0XH,WA,Seattle,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2017
1G1FX6S0XP,WA,Burien,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2023
1G1FY6S00K,WA,Seattle,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2019
1G1FY6S01M,WA,Bellevue,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2021
1G1FY6S03K,WA,Seattle,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2019
1G1FY6S03P,WA,Woodinville,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EUV,2023
